Logged,Captured,Device ID,Stats,Uptime,CPM0,CPM1,Latitude,Longitude,Altitude,Bat V,Bat SOC,Bat I,SNR,Temp C,Humid %,Press Pa,PMS PM 1.0,PMS PM 2.5,PMS PM 10.0,PMS # 0.3,PMS # 0.5,PMS # 1.0,PMS # 2.5,PMS # 5.0,PMS # 10.0,PMS # Secs,OPC PM 1.0,OPC PM 2.5,OPC PM 10.0,OPC # 0.38,OPC # 0.54,OPC # 1.0,OPC # 2.1,OPC # 5.0,OPC # 10.0,OPC # Secs
2016-12-27 11:33:45,2016-12-27T11:33:37Z,2043926292,"uptime_min:1 version:1.2.2130",1,,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 11:33:54,2016-12-27T11:33:52Z,2043926292,"uptime_min:1 config:3.0.0.15.7.2047.0",1,,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 11:34:08,2016-12-27T11:34:07Z,2043926292,"uptime_min:1 config://api.teletype.io/8081/8080",1,,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 11:34:24,2016-12-27T11:34:22Z,2043926292,"uptime_min:1 dfu:solarcast-1-2.zip/1/0/0",1,,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 11:34:39,2016-12-27T11:34:37Z,2043926292,"uptime_min:1 cell:89011702272017301570",1,,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 11:34:54,2016-12-27T11:34:52Z,2043926292,"uptime_min:1 cell:WCDMA 310-410 0x0000 132675195 WCDMA",1,,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 11:35:09,2016-12-27T11:35:07Z,2043926292,"uptime_min:1 transmitted_bytes:1128",1,,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 11:53:05,2016-12-27T11:53:04Z,2043926292,,,37,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 12:07:35,2016-12-27T12:07:34Z,2043926292,,,,,42.565063,-70.783760,2,3.9572,95.72,2.040,,21.28,46.76,1004.69,0,0,0,9054,2288,174,8,8,0,100,1.233834,1.697014,1.761270,424,264,85,4,0,0,80
2016-12-27 12:16:50,2016-12-27T12:16:49Z,2043926292,,,35,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 12:31:50,2016-12-27T12:31:49Z,2043926292,,,34,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 12:41:50,2016-12-27T12:41:49Z,2043926292,,,18,,42.565063,-70.783760,2,4.1588,115.88,-178.560,,21.92,45.83,1004.40,0,0,0,9066,2298,176,10,0,0,100,1.346417,1.880974,2.066967,443,313,84,10,0,0,80
2016-12-27 12:51:50,2016-12-27T12:51:49Z,2043926292,,,39,,42.565063,-70.783760,2,,,,,,,,0,0,0,9567,2417,168,14,0,0,100,1.294484,1.724361,1.770705,460,302,77,5,0,0,80
2016-12-27 13:01:50,2016-12-27T13:01:49Z,2043926292,,,35,,42.565063,-70.783760,2,,,,,,,,0,0,0,10518,2460,241,0,0,0,100,1.303239,1.895383,2.449470,485,296,111,15,1,0,80
2016-12-27 13:16:50,2016-12-27T13:16:49Z,2043926292,,,31,,42.565063,-70.783760,2,3.9592,95.92,1.460,,21.74,45.39,1004.74,0,1,1,12600,3220,306,0,0,0,100,1.435428,1.949995,1.998715,471,293,108,3,0,0,80
2016-12-27 13:31:50,2016-12-27T13:31:48Z,2043926292,,,39,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 13:46:50,2016-12-27T13:46:49Z,2043926292,,,34,,42.565063,-70.783760,2,3.9556,95.56,1.030,,21.36,47.07,1004.92,0,0,0,10794,2812,240,9,0,0,100,1.296115,1.743720,1.777491,449,306,86,1,0,0,80
2016-12-27 14:01:50,2016-12-27T14:01:49Z,2043926292,,,27,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 14:16:52,2016-12-27T14:16:49Z,2043926292,,,32,,42.565063,-70.783760,2,3.9556,95.56,0.920,,21.34,47.76,1004.96,1,1,1,15342,4086,397,39,0,0,100,1.280857,1.662717,1.695556,540,253,72,3,0,0,80
2016-12-27 14:31:50,2016-12-27T14:31:49Z,2043926292,,,34,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 14:46:50,2016-12-27T14:46:49Z,2043926292,,,40,,42.565063,-70.783760,2,3.9548,95.48,0.940,,21.35,46.85,1004.86,0,1,1,13710,3572,343,27,0,0,100,1.403629,1.785728,1.836626,609,255,66,3,0,0,80
2016-12-27 15:01:50,2016-12-27T15:01:49Z,2043926292,,,37,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 15:16:50,2016-12-27T15:16:49Z,2043926292,,,37,,42.565063,-70.783760,2,3.9520,95.20,0.740,,21.33,47.30,1004.95,0,1,1,14244,3584,357,28,0,0,100,1.378144,1.701345,1.724017,618,186,53,1,0,0,80
2016-12-27 15:31:50,2016-12-27T15:31:48Z,2043926292,,,38,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 15:46:50,2016-12-27T15:46:49Z,2043926292,,,36,,42.565063,-70.783760,2,3.9524,95.24,1.300,,21.37,47.55,1004.62,0,0,1,11142,2836,263,29,19,3,100,1.202362,1.461015,1.481747,552,210,29,2,0,0,80
2016-12-27 16:01:50,2016-12-27T16:01:49Z,2043926292,,,34,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 16:16:50,2016-12-27T16:16:49Z,2043926292,,,36,,42.565063,-70.783760,2,3.9520,95.20,0.670,,21.42,47.24,1003.94,0,1,2,14598,3992,502,58,15,11,100,1.205593,1.462656,1.491305,606,200,33,3,0,0,80
2016-12-27 16:31:50,2016-12-27T16:31:48Z,2043926292,,,35,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-27 16:46:50,2016-12-27T16:46:49Z,2043926292,,,39,,42.565063,-70.783760,2,3.9504,95.04,2.470,,21.45,46.67,1003.41,0,1,1,12138,3252,334,80,40,0,100,1.096352,1.317735,1.332783,543,158,31,1,0,0,80
2016-12-27 17:01:50,2016-12-27T17:01:48Z,2043926292,,,34,,42.565063,-70.783760,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
